,title,salary,jobtype,description,location
0,"Data Scientist/Modeler - Remote Based, Teleflora",,Remote,"Experience with eCommerce data analysis is a plus.Strong presentation skills, with the ability to translate data into business insights.","Delano, CA•Remote"
1,Data Scientist,,Remote,,Remote•Remote
2,"VP, Data Science",,Remote,"Experience supporting data scientists across their many specialities, from analytics to machine learning.Support Calm’s Data Science team with clear objectives…",Remote•Remote
3,"Data Engineer, Operations Decision Science",,,Define and execute the data engineering roadmap (e.g. establish an operational data lake and a real-time reporting environment for the operations).,"Atlanta, GA"
4,data scientist -Remote,,Remote,"Understands how to break down the data, extract insights, and determine utility within larger data analytic products.","Seattle, WA•Remote"
5,"Technical Sourcer, Data Science",,Remote,"Utilizes Data for reporting and influencing hiring decisions, while maintaining data integrity.Partner with Coordinators and Recruiters to manage an efficient…",Remote+8 locations•Remote
6,Data Analyst I,,Remote,"Integrate data from multiple data sets, analyze and interpret complex data sets and make findings relevant and actionable for both internal and external…",Remote+1 location•Remote
7,Data Analyst,,,Contribute to data models and designs for the data warehouse.Our Data Strategy and Operations team is focused on implementing and evolving client's investment…,"Los Angeles, CA"
8,Data Scientist,,Remote,"Demonstrated professional experience in Tableau, including server administration, server functions, data source creation and maintenance, reporting and…","Cleveland, OH 44143•Remote"
9,Data Science & Analytics,,,,"South Jordan, UT 84095"
10,Machine Learning Data Associate,,,"This role focuses on language data, primarily in the areas of writing and general data analysis deliverables.Writing high-quality and engaging copy.","Santa Barbara, CA"
11,Data Scientist,,,Partner with data engineers to build pipelines that apply clinical logic to raw data.Become an expert in the data we collect and use that data to enable us to…,"Burlingame, CA 94010"
12,Data Product Associate,,,"Proactive communication : Serves as a project expert, thought leader, and strategic advisor to business stakeholders and data science team; collaborate with all…","San Francisco, CA (North Waterfront area)"
13,Data Science Resident,$35 an hour,,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data…","San Francisco, CA 94105+7 locations (South Beach area)"
14,Lecturer of Data Science,,,"The ideal candidate will have a broad knowledge of data analytics, with a strong interest in teaching to multidisciplinary, liberal arts audiences, including…","Williamsburg, VA 23187"
15,Data Engineer,,,"Experience with data modeling, data warehousing, and building ETL pipelines.Demonstrated strength in data modeling, ETL development, and data warehousing.","New York, NY"
16,Part-Time Student-Smart Connected Factory/Data and Analytics...,,Remote,Locates and acquires data from existing data locations as needed to support analytics and reporting.Education focused in data and analytics.,"Waterloo, IA 50704•Remote"
17,"Part Time Faculty - Data Science, Analytics, or Statistics",,,"Teach undergraduate and graduate courses in statistics, analytics, and data science.Teaching responsibilities may include one or more courses including but not…","Marietta, GA 30060"
18,Adjunct Lecturer in Data Science,,,Position Title Adjunct Lecturer in Data Science.The Data Science Program at the College of William and Mary is recruiting a pool of applicants for possible…,"Williamsburg, VA 23187"
