,word,count
0,Data Scientist,2842
2,Analyst,828
3,Senior,474
4,Programmer,420
5,Analytics,368
7,Science,326
9,Engineer,242
10,Research,235
12,Manager,226
13,Director,221
14,Staff,219
15,Statistical,216
16,Program,215
17,Jr.,213
19,Principal,212
20,Healthcare,212
21,Technology,212
22,Quality,212
23,Assurance,211
24,QA,210
26,Analyst/Statistical,209
27,remote,209
28,Testing,209
29,Associate,209
31,Assistant/Data,209
32,Learning,185
33,Machine,176
35,Head,110
36,Marketing,109
37,Global,104
38,Search,102
39,Returns,101
